# remove the jumper connection from VCC_PP1 to +5V: we need +12v power supply for push-pull outputs.
R309,

# remove +5V pull-ups from SPI1, because we use it with +3.3v accelerometer
R103,
R105,

# remove jumper resistor connecting BOOT1 with A22 input line, because we use STM32F4
R131,

#VR-discrete analog muxes
U755,"FSA4157P6X","SOT-363","C10446"
U756,"FSA4157P6X","SOT-363","C10446"



# JLC stock adjustments
U103,"AP2331W-7","SOT-23","C460346"
U480,"AP2331W-7","SOT-23","C460346"
L421,"MWSA0503S-100MT","SMD-5.2x5.4x2.8","C408412"
L420,"NLV32T-2R2J-PF","1210","C89016"

#accelerometer
U4,"LIS2DH12TR","LGA-12","C110926"

#INJ low-side
Q305,"ZXMS6005SGTA","SOT-223","C174042"
Q306,"ZXMS6005SGTA","SOT-223","C174042"
Q307,"ZXMS6005SGTA","SOT-223","C174042"
Q308,"ZXMS6005SGTA","SOT-223","C174042"
Q309,"ZXMS6005SGTA","SOT-223","C174042"
Q310,"ZXMS6005SGTA","SOT-223","C174042"
Q311,"ZXMS6005SGTA","SOT-223","C174042"
Q312,"ZXMS6005SGTA","SOT-223","C174042"
#3.3 reference
#U603,"REF3333AIDBZR","SOT-23","C130016"
#U603_2,"REF3333AIDBZR","SOT-23","C130016"
#fuses
F410,"nSMD050-24V","F1206","C70076"
F300,"nSMD050-24V","F1206","C70076"

#non-JLC componentts
#pressure sensor
U3,

#IGBT
Q1,
Q2,
Q3,
Q4,

